class,precision,recall,f1,auc,support
Non-Malicious,0.9902152641878669,0.9764341266592597,0.983276410316806,0.9897066830590899,17101.0
Phishing,0.7561890472618155,0.9290322580645162,0.8337468982630273,0.994684332436743,1085.0
Exploit,0.391304347826087,0.24324324324324326,0.3,0.9697404481016714,37.0
Sanctioned,0.2222222222222222,0.16666666666666666,0.19047619047619047,0.9494010198379436,12.0
Tornado,0.7408256880733946,0.7468208092485549,0.743811168681635,0.9740957410556781,865.0
macro_avg,0.6201513139142772,0.6124394207764481,0.6102621335475318,0.9755256448982254,
weighted_avg,0.9639840574280364,0.961413612565445,0.9621155839077701,,
