class,precision,recall,f1,auc,support
Non-Malicious,0.9797067376105921,0.9259692415648207,0.9520803270803271,0.9055985802386017,17101.0
Phishing,0.6598984771573604,0.8387096774193549,0.7386363636363636,0.9451112552135893,1085.0
Exploit,0.05019305019305019,0.35135135135135137,0.08783783783783784,0.8003965514063609,37.0
Sanctioned,0.005025125628140704,0.25,0.009852216748768473,0.7661925468007824,12.0
Tornado,0.31054131054131057,0.2520231213872832,0.2782386726228462,0.5547939790563469,865.0
macro_avg,0.40107294022609075,0.5236106783445621,0.4133290835852287,0.7944185825431362,
weighted_avg,0.9288214892972454,0.8889528795811519,0.9071722935270092,,
