class,precision,recall,f1,auc,support
Non-Malicious,0.9864753616370693,0.9809952634348869,0.9837276805347875,0.9872520319571516,17101.0
Phishing,0.7462006079027356,0.9050691244239631,0.8179925031236984,0.9934114044747655,1085.0
Exploit,0.45,0.24324324324324326,0.3157894736842105,0.9781648616039844,37.0
Sanctioned,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.8535969369935735,12.0
Tornado,0.7721854304635761,0.6739884393063584,0.7197530864197531,0.9746219158671868,865.0
macro_avg,0.6576389466673429,0.5773258807483571,0.5941192154191566,0.9574094301793323,
weighted_avg,0.9616718961403656,0.9607853403141361,0.9605298199473307,,
