,precision,recall,f1-score,support
Non-Malicious,0.9264755480607083,0.883185081984782,0.9043125205750028,46655.0
Phishing,0.05952380952380952,0.026041666666666668,0.036231884057971016,384.0
Exploit,0.02564102564102564,0.02564102564102564,0.02564102564102564,39.0
Sanctioned,0.0,0.0,0.0,19.0
Tornado,0.30794534412955465,0.44278697471348005,0.36325647339750766,5497.0
accuracy,0.829942579001407,0.829942579001407,0.829942579001407,0.829942579001407
macro avg,0.2639171454710196,0.27553094980119086,0.26588838073430143,52594.0
weighted avg,0.8544957484562812,0.829942579001407,0.8404463346611993,52594.0
