,precision,recall,f1-score,support
Non-Malicious,0.0,0.0,0.0,44293.0
Phishing,0.05052815437078932,0.8817126269956459,0.09557898049087477,2756.0
Exploit,0.014648182055976981,0.13333333333333333,0.026396417629036058,420.0
Sanctioned,0.014727540500736377,0.14705882352941177,0.02677376171352075,68.0
Tornado,0.0,0.0,0.0,5057.0
accuracy,0.047457884929839905,0.047457884929839905,0.047457884929839905,0.047457884929839905
macro avg,0.015980775385500537,0.23242095677167818,0.029749831966686312,52594.0
weighted avg,0.0027837643583575266,0.047457884929839905,0.00525388412049978,52594.0
