,precision,recall,f1-score,support
Non-Malicious,0.9095668043415618,0.8551689883277267,0.8815294925352293,44293.0
Phishing,0.484462748034444,0.4695210449927431,0.47687488483508383,2756.0
Exploit,0.10714285714285714,0.08571428571428572,0.09523809523809523,420.0
Sanctioned,0.05442176870748299,0.11764705882352941,0.07441860465116279,68.0
Tornado,0.31862493586454593,0.49120031639311845,0.3865245467984128,5057.0
accuracy,0.7928661063999696,0.7928661063999696,0.7928661063999696,0.7928661063999696
macro avg,0.3748438228181784,0.4038503388502807,0.3829171248115968,52594.0
weighted avg,0.8229571582162004,0.7928661063999696,0.8054068542750934,52594.0
