model,src_accuracy_mean,src_accuracy_std,src_precision_mean,src_recall_mean,src_f1_mean,rec_accuracy_mean,rec_accuracy_std,rec_precision_mean,rec_recall_mean,rec_f1_mean,exact_match_mean,exact_match_std
Random Forest,0.8220518414319627,0.00451615026651325,0.27311722213308137,0.2726992722572326,0.2593916263944783,0.7928662160075753,0.005106445652846034,0.37591182441529647,0.40718732129917806,0.38403009051778614,0.6674145577192502,0.005088727561179571
Logistic Regression,0.7120013710917185,0.014080210071315767,0.18203784694757477,0.25185266839608056,0.17319815762308224,0.04745792982901972,0.0029181638908707713,0.013679427353876181,0.2254596213119268,0.02562158514973239,0.029528094663174444,0.0007383231634764217
XGBoost,0.8299425241634399,0.004403780071744579,0.2618098273786066,0.2753958576227772,0.26441059834233493,0.7884360033341636,0.0035932744749992687,0.38578903663595093,0.4036280153379682,0.3835397222454961,0.6754763232247134,0.004991335562267174
