,precision,recall,f1-score,support
Non-Malicious,0.9270781028894873,0.870624799056907,0.8979650488012468,46655.0
Phishing,0.13725490196078433,0.018229166666666668,0.03218390804597701,384.0
Exploit,0.0,0.0,0.0,39.0
Sanctioned,0.0,0.0,0.0,19.0
Tornado,0.29899151959660786,0.4746225213752956,0.3668705617661534,5497.0
accuracy,0.8220519450887934,0.8220519450887934,0.8220519450887934,0.8220519450887934
macro avg,0.27266490488937595,0.27269529741977383,0.25940390372267547,52594.0
weighted avg,0.8546429470259825,0.8220519450887934,0.835144796945286,52594.0
