,precision,recall,f1-score,support
Non-Malicious,0.90053931718592,0.8016932804629728,0.8482463799340054,46655.0
Phishing,0.007700477960701009,0.07552083333333333,0.013975903614457831,384.0
Exploit,0.002056484782012613,0.38461538461538464,0.00409109504977499,39.0
Sanctioned,0.0,0.0,0.0,19.0
Tornado,0.0,0.0,0.0,5497.0
accuracy,0.7120013689774499,0.7120013689774499,0.7120013689774499,0.7120013689774499
macro avg,0.18205925598572673,0.2523658996823382,0.17326267571964765,52594.0
weighted avg,0.7989067009497759,0.7120013689774499,0.7525660941460227,52594.0
