class,precision,recall,f1,auc,support
Non-Malicious,0.9634910434573059,0.9521333597936098,0.957778531930609,0.8014340908607958,50390.0
Phishing,0.1388888888888889,0.015197568389057751,0.0273972602739726,0.786455132643237,329.0
Exploit,0.0,0.0,0.0,0.7083734189943527,28.0
Sanctioned,0.0,0.0,0.0,0.620671901320437,14.0
Tornado,0.13215061549601737,0.19912711402073105,0.1588683351468988,0.8071283219964964,1833.0
macro_avg,0.2469061095684424,0.2332916084406797,0.2288088254702961,0.7448125731630638,
weighted_avg,0.928589576804622,0.9192683576073316,0.9233501840692435,,
