class,precision,recall,f1,auc,support
Non-Malicious,0.9649889551317071,0.8062512403254614,0.8785070979879124,0.5257901255866673,50390.0
Phishing,0.0051529790660225444,0.0486322188449848,0.009318578916715201,0.5372557782890968,329.0
Exploit,0.0013535462912831618,0.35714285714285715,0.002696871628910464,0.4758793027540888,28.0
Sanctioned,0.0,0.0,0.0,0.7304366135956093,14.0
Tornado,0.0,0.0,0.0,0.470899349435686,1833.0
macro_avg,0.19429909609780255,0.24240526326266068,0.1781045097067076,0.5480522339322296,
weighted_avg,0.9245831592671331,0.7729588926493517,0.841752176911437,,
