class,precision,recall,f1,auc,support
Non-Malicious,0.9629279996853305,0.9716610438579083,0.967274810592965,0.806385744730125,50390.0
Phishing,0.07920792079207921,0.0486322188449848,0.060263653483992465,0.8046884636600304,329.0
Exploit,0.05555555555555555,0.03571428571428571,0.043478260869565216,0.9080068050505214,28.0
Sanctioned,0.0,0.0,0.0,0.8448812693582567,14.0
Tornado,0.16568047337278108,0.13747954173486088,0.15026833631484796,0.8106984849349045,1833.0
macro_avg,0.25267438988114926,0.23869741803040795,0.24425701225227417,0.8349321535467675,
weighted_avg,0.9288749510083327,0.9360573449442903,0.9323775278462411,,
