class,precision,recall,f1,auc,support
Non-Malicious,0.9374816430999035,0.9365581707291514,0.9370196793843508,0.8295053463082183,47713.0
Phishing,0.4503639973527465,0.5038874490929286,0.4756246723746287,0.8959884556505161,2701.0
Exploit,0.175,0.08413461538461539,0.11363636363636363,0.8438948444230843,416.0
Sanctioned,0.056338028169014086,0.08,0.06611570247933884,0.934716428136419,50.0
Tornado,0.15168195718654434,0.14469078179696615,0.1481039116154076,0.8305470051481327,1714.0
macro_avg,0.3541731251616417,0.34985420340073226,0.3481000658980179,0.8669304159332739,
weighted_avg,0.8799881083412869,0.8809750161615394,0.8802736209349907,,
