class,precision,recall,f1,auc,support
Non-Malicious,0.9364760663861418,0.9188900299708674,0.9275997037977362,0.8161608317655891,47713.0
Phishing,0.4861899356791525,0.4757497223250648,0.4809131736526946,0.8942744470575398,2701.0
Exploit,0.12144702842377261,0.11298076923076923,0.11706102117061021,0.8364357482301708,416.0
Sanctioned,0.07692307692307693,0.14,0.09929078014184398,0.8578646467722291,50.0
Tornado,0.1434487951807229,0.22228704784130687,0.17437070938215102,0.8300607728712124,1714.0
macro_avg,0.35289698051857327,0.3739815138736016,0.35984707762900714,0.8469592893393483,
weighted_avg,0.8802433913442899,0.8663155493022018,0.8729141055830016,,
