class,precision,recall,f1,auc,support
Non-Malicious,0.0,0.0,0.0,0.48081995102580866,47713.0
Phishing,0.04827249782604085,0.8426508700481303,0.09131394182547643,0.4156717849355711,2701.0
Exploit,0.01509813789632612,0.14423076923076922,0.02733485193621868,0.5033917966089452,416.0
Sanctioned,0.004103967168262654,0.12,0.007936507936507936,0.9237136495127892,50.0
Tornado,0.0,0.0,0.0,0.49397229530393433,1714.0
macro_avg,0.013494920578125924,0.22137632785577993,0.025317060339640606,0.5635138954774097,
weighted_avg,0.0026023888723318467,0.044529794273111004,0.004913242587993007,,
